ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600660.SH,2010-01-04,15.0,15.1,14.72,14.77,14.94,-0.17,-1.14,167244.24,248491.54
600660.SH,2010-01-05,14.77,14.89,14.22,14.45,14.77,-0.32,-2.17,353469.68,509999.422
600660.SH,2010-01-06,14.45,14.6,14.18,14.37,14.45,-0.08,-0.55,446089.91,639501.2760000001
600660.SH,2010-01-07,14.3,14.35,13.58,13.68,14.37,-0.69,-4.8,467243.93,645011.875
600660.SH,2010-01-08,13.6,13.6,13.15,13.48,13.68,-0.2,-1.46,330717.43,441221.531
600660.SH,2010-01-11,13.63,13.78,13.0,13.19,13.48,-0.29,-2.15,380539.95,503182.505
600660.SH,2010-01-12,13.28,13.9,13.2,13.88,13.19,0.69,5.23,374032.94,507292.083
600660.SH,2010-01-13,13.5,13.8,13.28,13.38,13.88,-0.5,-3.6,371356.4,499424.12899999996
600660.SH,2010-01-14,13.51,13.96,13.4,13.89,13.38,0.51,3.81,457149.76,630227.872
600660.SH,2010-01-15,13.96,14.27,13.91,14.14,13.89,0.25,1.8,353035.88,499266.62799999997
600660.SH,2010-01-18,14.17,14.26,13.92,14.15,14.14,0.01,0.07,289023.81,406918.059
600660.SH,2010-01-19,14.15,14.22,13.79,13.89,14.15,-0.26,-1.84,263391.39,366474.44
600660.SH,2010-01-20,13.89,13.98,13.44,13.48,13.89,-0.41,-2.95,258643.3,351689.049
600660.SH,2010-01-21,13.47,13.6,13.15,13.29,13.48,-0.19,-1.41,234939.67,312178.717
600660.SH,2010-01-22,13.19,13.25,12.65,12.88,13.29,-0.41,-3.09,337894.69,439378.901
600660.SH,2010-01-25,12.9,13.26,12.78,12.82,12.88,-0.06,-0.47,168189.52,218850.785
600660.SH,2010-01-26,12.84,13.07,12.48,12.68,12.82,-0.14,-1.09,183565.5,235180.448
600660.SH,2010-01-27,12.68,12.88,12.4,12.71,12.68,0.03,0.24,137444.09,174339.08
600660.SH,2010-01-28,12.68,12.85,12.5,12.75,12.71,0.04,0.31,99455.84,126306.57199999999
600660.SH,2010-01-29,12.68,13.03,12.61,12.71,12.75,-0.04,-0.31,134104.73,171753.479
600660.SH,2010-02-01,12.54,12.83,12.13,12.19,12.71,-0.52,-4.09,205064.52,257266.605
600660.SH,2010-02-02,12.24,12.61,12.0,12.12,12.19,-0.07,-0.57,152393.49,188423.069
600660.SH,2010-02-03,12.14,12.64,11.66,12.55,12.12,0.43,3.55,210691.96,255316.532
600660.SH,2010-02-04,12.5,12.5,12.19,12.29,12.55,-0.26,-2.07,144247.98,177838.431
600660.SH,2010-02-05,12.0,12.18,11.68,11.9,12.29,-0.39,-3.17,223388.1,264742.392
600660.SH,2010-02-08,11.81,12.04,11.72,11.93,11.9,0.03,0.25,101302.32,120383.281
600660.SH,2010-02-09,11.93,12.15,11.84,11.97,11.93,0.04,0.34,93671.22,112308.89199999999
600660.SH,2010-02-10,12.09,12.15,11.91,12.06,11.97,0.09,0.75,50404.15,60514.08900000001
600660.SH,2010-02-11,12.15,12.37,12.04,12.35,12.06,0.29,2.4,116650.86,142735.557
600660.SH,2010-02-12,12.44,12.64,12.35,12.54,12.35,0.19,1.54,102524.71,128341.112
600660.SH,2010-02-22,12.5,12.67,12.31,12.48,12.54,-0.06,-0.48,77233.79,96946.506
600660.SH,2010-02-23,12.49,12.85,12.39,12.8,12.48,0.32,2.56,172216.77,217601.177
600660.SH,2010-02-24,12.7,13.1,12.6,12.88,12.8,0.08,0.63,137927.66,177993.97
600660.SH,2010-02-25,12.91,13.11,12.88,13.02,12.88,0.14,1.09,138386.27,180209.76
600660.SH,2010-02-26,13.02,13.18,12.9,13.01,13.02,-0.01,-0.08,129090.29,168701.92
600660.SH,2010-03-01,13.01,13.12,12.88,12.92,13.01,-0.09,-0.69,148165.64,192121.254
600660.SH,2010-03-02,12.92,12.96,12.6,12.65,12.92,-0.27,-2.09,191500.7,243748.39
600660.SH,2010-03-03,12.7,12.85,12.45,12.76,12.65,0.11,0.87,136192.24,172990.73100000003
600660.SH,2010-03-04,12.75,12.85,12.27,12.32,12.76,-0.44,-3.45,140736.35,177243.76899999997
600660.SH,2010-03-05,12.32,12.52,12.19,12.35,12.32,0.03,0.24,85433.96,105602.13900000001
600660.SH,2010-03-08,12.38,12.62,12.35,12.48,12.35,0.13,1.05,106700.45,132948.842
600660.SH,2010-03-09,12.5,12.54,12.28,12.43,12.48,-0.05,-0.4,117526.31,145401.28699999998
600660.SH,2010-03-10,12.5,12.7,12.38,12.45,12.43,0.02,0.16,161915.47,202543.609
600660.SH,2010-03-11,12.51,12.67,12.3,12.49,12.45,0.04,0.32,143457.53,179750.637
600660.SH,2010-03-12,12.6,12.65,12.08,12.16,12.49,-0.33,-2.64,241612.04,298867.874
600660.SH,2010-03-15,12.18,12.22,11.73,11.79,12.16,-0.37,-3.04,130457.15,154574.865
600660.SH,2010-03-16,11.79,12.05,11.79,12.03,11.79,0.24,2.04,146898.51,175855.389
600660.SH,2010-03-17,12.06,12.5,12.0,12.41,12.03,0.38,3.16,115351.7,141296.434
600660.SH,2010-03-18,12.41,12.49,12.31,12.37,12.41,-0.04,-0.32,97393.44,120644.601
600660.SH,2010-03-19,12.38,12.6,12.37,12.53,12.37,0.16,1.29,115106.88,144124.52599999998
600660.SH,2010-03-22,12.53,12.58,12.38,12.49,12.53,-0.04,-0.32,71662.12,89257.021
600660.SH,2010-03-23,12.5,12.51,12.28,12.3,12.49,-0.19,-1.52,83022.84,102674.259
600660.SH,2010-03-24,12.3,12.35,12.05,12.15,12.3,-0.15,-1.22,148560.91,180312.515
600660.SH,2010-03-25,12.11,12.11,11.9,11.97,12.15,-0.18,-1.48,82867.98,99410.399
600660.SH,2010-03-26,11.93,12.2,11.87,12.15,11.97,0.18,1.5,71011.14,85924.24
600660.SH,2010-03-29,12.23,12.59,12.15,12.51,12.15,0.36,2.96,159913.51,199038.974
600660.SH,2010-03-30,12.5,12.54,12.36,12.5,12.51,-0.01,-0.08,95858.22,119585.619
600660.SH,2010-03-31,12.51,12.54,12.27,12.35,12.5,-0.15,-1.2,137371.48,170119.677
600660.SH,2010-04-01,12.55,12.88,12.55,12.76,12.35,0.41,3.32,355288.76,452304.33700000006
600660.SH,2010-04-02,12.76,13.15,12.76,13.01,12.76,0.25,1.96,356398.33,463254.12799999997
600660.SH,2010-04-06,12.86,12.94,12.5,12.67,13.01,-0.34,-2.61,671636.73,852381.942
600660.SH,2010-04-07,12.72,12.82,12.47,12.64,12.67,-0.03,-0.24,317370.21,399830.36299999995
600660.SH,2010-04-08,12.64,12.72,12.44,12.5,12.64,-0.14,-1.11,343324.14,431942.14200000005
600660.SH,2010-04-09,12.52,12.64,12.45,12.57,12.5,0.07,0.56,163987.88,206011.51899999997
600660.SH,2010-04-12,12.6,12.6,12.0,12.23,12.57,-0.34,-2.7,488121.61,595821.61
600660.SH,2010-04-13,12.23,12.37,12.05,12.23,12.23,0.0,0.0,227650.34,277827.102
600660.SH,2010-04-14,12.26,12.39,12.22,12.36,12.23,0.13,1.06,169367.4,208575.55399999997
600660.SH,2010-04-15,12.5,12.74,12.41,12.55,12.36,0.19,1.54,301661.94,379759.37899999996
600660.SH,2010-04-16,12.65,12.65,12.41,12.5,12.55,-0.05,-0.4,163432.96,204197.60199999998
600660.SH,2010-04-19,12.44,12.44,11.95,12.02,12.5,-0.48,-3.84,334115.68,403761.881
600660.SH,2010-04-20,11.9,12.05,11.51,11.82,12.02,-0.2,-1.66,257494.01,302870.519
600660.SH,2010-04-21,11.82,11.82,11.37,11.62,11.65,-0.03,-0.26,316325.25,365133.851
600660.SH,2010-04-22,11.59,11.6,11.3,11.4,11.62,-0.22,-1.89,272988.13,311130.789
600660.SH,2010-04-23,11.4,11.59,11.31,11.39,11.4,-0.01,-0.09,198156.44,226535.198
600660.SH,2010-04-26,11.39,11.95,11.36,11.72,11.39,0.33,2.9,276796.2,323015.224
600660.SH,2010-04-27,11.72,11.73,11.25,11.45,11.72,-0.27,-2.3,187360.07,213780.22699999998
600660.SH,2010-04-28,11.33,11.44,11.19,11.27,11.45,-0.18,-1.57,116265.11,131121.289
600660.SH,2010-04-29,11.38,11.57,11.1,11.11,11.27,-0.16,-1.42,139753.4,158182.97400000002
600660.SH,2010-04-30,11.11,11.25,10.92,11.22,11.11,0.11,0.99,183008.55,203137.283
600660.SH,2010-05-04,11.05,11.16,10.85,10.86,11.22,-0.36,-3.21,114278.76,125406.498
